jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
corretto21-c2,plainInline,2.8591,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,plainInline,2.7783,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,plainInline,2.8891,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,plainInline,2.8670,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,plainInline,3.0215,0.000004,102500000,102500000,11551.2267,5
corretto21-c2,plainGuarded,7.0371,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,plainGuarded,7.2896,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,plainGuarded,7.0402,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,plainGuarded,7.0706,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,plainGuarded,7.0146,0.000004,102500000,102500000,11551.2267,5
corretto21-c2,fluxtionStreamClock,8.6467,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,fluxtionStreamClock,8.5835,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,fluxtionStreamClock,8.5616,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,fluxtionStreamClock,8.5634,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,fluxtionStreamClock,8.6577,0.000004,102500000,102500000,11551.2267,5
corretto21-c2,fluxtionDefault,18.2727,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,fluxtionDefault,18.4524,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,fluxtionDefault,18.6140,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,fluxtionDefault,18.3957,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,fluxtionDefault,18.5219,0.000004,102500000,102500000,11551.2267,5
openjdk25-c2,plainInline,3.1955,0.000004,102500000,102500000,11551.2267,1
openjdk25-c2,plainInline,3.3623,0.000004,102500000,102500000,11551.2267,2
openjdk25-c2,plainInline,3.2813,0.000004,102500000,102500000,11551.2267,3
openjdk25-c2,plainInline,3.1373,0.000004,102500000,102500000,11551.2267,4
openjdk25-c2,plainInline,3.3415,0.000004,102500000,102500000,11551.2267,5
openjdk25-c2,plainGuarded,7.2453,0.000004,102500000,102500000,11551.2267,1
openjdk25-c2,plainGuarded,7.2232,0.000004,102500000,102500000,11551.2267,2
openjdk25-c2,plainGuarded,7.4700,0.000004,102500000,102500000,11551.2267,3
openjdk25-c2,plainGuarded,7.5039,0.000004,102500000,102500000,11551.2267,4
openjdk25-c2,plainGuarded,7.5260,0.000004,102500000,102500000,11551.2267,5
openjdk25-c2,fluxtionStreamClock,8.8067,0.000004,102500000,102500000,11551.2267,1
openjdk25-c2,fluxtionStreamClock,8.7667,0.000004,102500000,102500000,11551.2267,2
openjdk25-c2,fluxtionStreamClock,8.7135,0.000004,102500000,102500000,11551.2267,3
openjdk25-c2,fluxtionStreamClock,8.7834,0.000004,102500000,102500000,11551.2267,4
openjdk25-c2,fluxtionStreamClock,8.6820,0.000004,102500000,102500000,11551.2267,5
openjdk25-c2,fluxtionDefault,19.3519,0.000004,102500000,102500000,11551.2267,1
openjdk25-c2,fluxtionDefault,19.7271,0.000004,102500000,102500000,11551.2267,2
openjdk25-c2,fluxtionDefault,19.7057,0.000004,102500000,102500000,11551.2267,3
openjdk25-c2,fluxtionDefault,19.4538,0.000004,102500000,102500000,11551.2267,4
openjdk25-c2,fluxtionDefault,20.0956,0.000004,102500000,102500000,11551.2267,5
graal25.3-c2,plainInline,3.3534,0.000004,102500000,102500000,11551.2267,1
graal25.3-c2,plainInline,3.2114,0.000004,102500000,102500000,11551.2267,2
graal25.3-c2,plainInline,3.0194,0.000004,102500000,102500000,11551.2267,3
graal25.3-c2,plainInline,3.2227,0.000004,102500000,102500000,11551.2267,4
graal25.3-c2,plainInline,3.1365,0.000004,102500000,102500000,11551.2267,5
graal25.3-c2,plainGuarded,7.5079,0.000004,102500000,102500000,11551.2267,1
graal25.3-c2,plainGuarded,7.2361,0.000004,102500000,102500000,11551.2267,2
graal25.3-c2,plainGuarded,7.4420,0.000004,102500000,102500000,11551.2267,3
graal25.3-c2,plainGuarded,7.2417,0.000004,102500000,102500000,11551.2267,4
graal25.3-c2,plainGuarded,7.2362,0.000004,102500000,102500000,11551.2267,5
graal25.3-c2,fluxtionStreamClock,8.8036,0.000004,102500000,102500000,11551.2267,1
graal25.3-c2,fluxtionStreamClock,8.7379,0.000004,102500000,102500000,11551.2267,2
graal25.3-c2,fluxtionStreamClock,8.8049,0.000004,102500000,102500000,11551.2267,3
graal25.3-c2,fluxtionStreamClock,8.7990,0.000004,102500000,102500000,11551.2267,4
graal25.3-c2,fluxtionStreamClock,8.6793,0.000004,102500000,102500000,11551.2267,5
graal25.3-c2,fluxtionDefault,19.9659,0.000004,102500000,102500000,11551.2267,1
graal25.3-c2,fluxtionDefault,20.2329,0.000004,102500000,102500000,11551.2267,2
graal25.3-c2,fluxtionDefault,20.6695,0.000004,102500000,102500000,11551.2267,3
graal25.3-c2,fluxtionDefault,19.8884,0.000004,102500000,102500000,11551.2267,4
graal25.3-c2,fluxtionDefault,19.7804,0.000004,102500000,102500000,11551.2267,5
graal25.3-graaljit,plainInline,2.0994,0.000004,102500000,102500000,11551.2267,1
graal25.3-graaljit,plainInline,2.1631,0.000004,102500000,102500000,11551.2267,2
graal25.3-graaljit,plainInline,2.1209,0.000004,102500000,102500000,11551.2267,3
graal25.3-graaljit,plainInline,2.1082,0.000004,102500000,102500000,11551.2267,4
graal25.3-graaljit,plainInline,2.1198,0.000004,102500000,102500000,11551.2267,5
graal25.3-graaljit,plainGuarded,6.8886,0.000004,102500000,102500000,11551.2267,1
graal25.3-graaljit,plainGuarded,6.7396,0.000004,102500000,102500000,11551.2267,2
graal25.3-graaljit,plainGuarded,6.7206,0.000004,102500000,102500000,11551.2267,3
graal25.3-graaljit,plainGuarded,6.7845,0.000004,102500000,102500000,11551.2267,4
graal25.3-graaljit,plainGuarded,6.6648,0.000004,102500000,102500000,11551.2267,5
graal25.3-graaljit,fluxtionStreamClock,8.1343,0.000004,102500000,102500000,11551.2267,1
