runtime,arm,ns,rep
JIT,generatedBase,4.7518,1
JIT,generatedBase,4.7460,2
JIT,generatedBase,4.7737,3
JIT,generatedBase,4.7360,4
JIT,generatedBase,4.7511,5
JIT,generatedBase,4.7667,6
JIT,generatedBase,4.7554,7
JIT,handBase,2.3301,1
JIT,handBase,2.3088,2
JIT,handBase,2.3129,3
JIT,handBase,2.3052,4
JIT,handBase,2.3168,5
JIT,handBase,2.3398,6
JIT,handBase,2.3152,7
native,generatedBase,6.3949,1
native,generatedBase,6.4393,2
native,generatedBase,6.3452,3
native,generatedBase,6.3821,4
native,generatedBase,6.4282,5
native,generatedBase,6.3690,6
native,generatedBase,6.4740,7
native,handBase,3.1752,1
native,handBase,3.1890,2
native,handBase,3.1817,3
native,handBase,3.1116,4
native,handBase,3.1538,5
native,handBase,3.1921,6
native,handBase,3.1145,7
native+PGO,generatedBase,1.5714,1
native+PGO,generatedBase,1.5369,2
native+PGO,generatedBase,1.5436,3
native+PGO,generatedBase,1.5570,4
native+PGO,generatedBase,1.5472,5
native+PGO,generatedBase,1.5511,6
native+PGO,generatedBase,1.5485,7
native+PGO,handBase,1.5333,1
native+PGO,handBase,1.5402,2
native+PGO,handBase,1.5653,3
native+PGO,handBase,1.5337,4
native+PGO,handBase,1.5398,5
native+PGO,handBase,1.5578,6
native+PGO,handBase,1.5358,7
