jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
corretto21-c2,plainGuarded,7.6097,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,plainGuarded,7.6084,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,plainGuarded,7.5921,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,plainGuarded,7.6538,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,plainGuarded,7.5767,0.000004,102500000,102500000,11551.2267,5
corretto21-c2,fluxtionStreamClock,9.2258,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,fluxtionStreamClock,9.2496,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,fluxtionStreamClock,9.1563,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,fluxtionStreamClock,9.1852,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,fluxtionStreamClock,9.1903,0.000004,102500000,102500000,11551.2267,5
corretto21-c2,fluxtionFlatStreamClock,9.1740,0.000004,102500000,102500000,11551.2267,1
corretto21-c2,fluxtionFlatStreamClock,9.1610,0.000004,102500000,102500000,11551.2267,2
corretto21-c2,fluxtionFlatStreamClock,9.1819,0.000004,102500000,102500000,11551.2267,3
corretto21-c2,fluxtionFlatStreamClock,9.1924,0.000004,102500000,102500000,11551.2267,4
corretto21-c2,fluxtionFlatStreamClock,9.2177,0.000004,102500000,102500000,11551.2267,5
graal25.3ce-graaljit,plainGuarded,6.8585,0.000004,102500000,102500000,11551.2267,1
graal25.3ce-graaljit,plainGuarded,6.8287,0.000004,102500000,102500000,11551.2267,2
graal25.3ce-graaljit,plainGuarded,6.9577,0.000004,102500000,102500000,11551.2267,3
graal25.3ce-graaljit,plainGuarded,8.8953,0.000004,102500000,102500000,11551.2267,4
graal25.3ce-graaljit,plainGuarded,6.9915,0.000004,102500000,102500000,11551.2267,5
graal25.3ce-graaljit,fluxtionStreamClock,8.0315,0.000004,102500000,102500000,11551.2267,1
graal25.3ce-graaljit,fluxtionStreamClock,7.7906,0.000004,102500000,102500000,11551.2267,2
graal25.3ce-graaljit,fluxtionStreamClock,8.0285,0.000004,102500000,102500000,11551.2267,3
graal25.3ce-graaljit,fluxtionStreamClock,8.0914,0.000004,102500000,102500000,11551.2267,4
graal25.3ce-graaljit,fluxtionStreamClock,7.8732,0.000004,102500000,102500000,11551.2267,5
graal25.3ce-graaljit,fluxtionFlatStreamClock,7.9371,0.000004,102500000,102500000,11551.2267,1
graal25.3ce-graaljit,fluxtionFlatStreamClock,8.1565,0.000004,102500000,102500000,11551.2267,2
graal25.3ce-graaljit,fluxtionFlatStreamClock,8.0856,0.000004,102500000,102500000,11551.2267,3
graal25.3ce-graaljit,fluxtionFlatStreamClock,7.9298,0.000004,102500000,102500000,11551.2267,4
graal25.3ce-graaljit,fluxtionFlatStreamClock,7.9928,0.000004,102500000,102500000,11551.2267,5
oracle25-graaljit,plainGuarded,6.8300,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,plainGuarded,6.9932,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,plainGuarded,6.9765,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,plainGuarded,6.7606,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,plainGuarded,6.9373,0.000004,102500000,102500000,11551.2267,5
oracle25-graaljit,fluxtionStreamClock,7.7019,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,fluxtionStreamClock,7.6518,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,fluxtionStreamClock,7.8535,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,fluxtionStreamClock,7.6937,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,fluxtionStreamClock,7.6997,0.000004,102500000,102500000,11551.2267,5
oracle25-graaljit,fluxtionFlatStreamClock,7.6821,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,fluxtionFlatStreamClock,7.6910,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,fluxtionFlatStreamClock,7.6877,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,fluxtionFlatStreamClock,7.8960,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,fluxtionFlatStreamClock,7.7247,0.000004,102500000,102500000,11551.2267,5
oracle25-native,plainGuarded,6.3688,0.000000,102500000,102500000,11551.2267,1
oracle25-native,plainGuarded,6.3799,0.000000,102500000,102500000,11551.2267,2
oracle25-native,plainGuarded,6.3835,0.000000,102500000,102500000,11551.2267,3
oracle25-native,plainGuarded,6.3537,0.000000,102500000,102500000,11551.2267,4
oracle25-native,plainGuarded,6.3547,0.000000,102500000,102500000,11551.2267,5
oracle25-native,fluxtionStreamClock,14.1200,0.000000,102500000,102500000,11551.2267,1
oracle25-native,fluxtionStreamClock,14.1226,0.000000,102500000,102500000,11551.2267,2
oracle25-native,fluxtionStreamClock,14.1409,0.000000,102500000,102500000,11551.2267,3
oracle25-native,fluxtionStreamClock,14.1404,0.000000,102500000,102500000,11551.2267,4
oracle25-native,fluxtionStreamClock,14.1193,0.000000,102500000,102500000,11551.2267,5
oracle25-native,fluxtionFlatStreamClock,14.2272,0.000000,102500000,102500000,11551.2267,1
oracle25-native,fluxtionFlatStreamClock,14.3693,0.000000,102500000,102500000,11551.2267,2
oracle25-native,fluxtionFlatStreamClock,14.2447,0.000000,102500000,102500000,11551.2267,3
oracle25-native,fluxtionFlatStreamClock,14.2763,0.000000,102500000,102500000,11551.2267,4
oracle25-native,fluxtionFlatStreamClock,14.2095,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,plainGuarded,8.9174,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,plainGuarded,8.8920,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,plainGuarded,8.8716,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,plainGuarded,8.8992,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,plainGuarded,8.8909,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,fluxtionStreamClock,9.5770,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,fluxtionStreamClock,9.4681,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,fluxtionStreamClock,9.5736,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,fluxtionStreamClock,9.5369,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,fluxtionStreamClock,9.5466,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,fluxtionFlatStreamClock,9.1629,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,fluxtionFlatStreamClock,9.0013,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,fluxtionFlatStreamClock,9.1045,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,fluxtionFlatStreamClock,9.1178,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,fluxtionFlatStreamClock,9.1377,0.000000,102500000,102500000,11551.2267,5
