runtime,arm,ns,rep
JIT,generatedMin,4.1769,1
JIT,generatedMin,3.9954,2
JIT,generatedMin,4.0274,3
JIT,generatedMin,4.1225,4
JIT,generatedMin,4.1860,5
JIT,generatedMin,4.0066,6
JIT,generatedMin,4.1759,7
JIT,handGuarded,7.2946,1
JIT,handGuarded,7.2611,2
JIT,handGuarded,6.7374,3
JIT,handGuarded,6.6894,4
JIT,handGuarded,6.7219,5
JIT,handGuarded,7.2429,6
JIT,handGuarded,7.1383,7
JIT,handInline,2.0683,1
JIT,handInline,2.0634,2
JIT,handInline,2.0735,3
JIT,handInline,2.0733,4
JIT,handInline,2.0592,5
JIT,handInline,2.0654,6
JIT,handInline,2.1001,7
native,generatedMin,5.6855,1
native,generatedMin,5.7019,2
native,generatedMin,5.7339,3
native,generatedMin,5.7070,4
native,generatedMin,5.6615,5
native,generatedMin,5.7598,6
native,generatedMin,5.7054,7
native,handGuarded,8.0221,1
native,handGuarded,7.9792,2
native,handGuarded,7.9976,3
native,handGuarded,8.0563,4
native,handGuarded,8.0217,5
native,handGuarded,7.9971,6
native,handGuarded,7.9761,7
native,handInline,2.9063,1
native,handInline,3.0744,2
native,handInline,2.9414,3
native,handInline,3.0608,4
native,handInline,3.0407,5
native,handInline,3.0260,6
native,handInline,2.9868,7
native+PGO,generatedMin,3.9991,1
native+PGO,generatedMin,3.9421,2
native+PGO,generatedMin,3.9153,3
native+PGO,generatedMin,3.9487,4
native+PGO,generatedMin,3.9510,5
native+PGO,generatedMin,3.9357,6
native+PGO,generatedMin,3.9795,7
native+PGO,handGuarded,8.6428,1
native+PGO,handGuarded,8.6421,2
native+PGO,handGuarded,8.6486,3
native+PGO,handGuarded,8.6793,4
native+PGO,handGuarded,8.6220,5
native+PGO,handGuarded,8.6118,6
native+PGO,handGuarded,8.6273,7
native+PGO,handInline,1.4716,1
native+PGO,handInline,1.4954,2
native+PGO,handInline,1.4953,3
native+PGO,handInline,1.4746,4
native+PGO,handInline,1.4903,5
native+PGO,handInline,1.4789,6
native+PGO,handInline,1.4950,7
