jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
oracle-jit,viaInterface,7.8959,0.000000,102500000,102500000,11551.2267,1
oracle-jit,viaInterface,7.8332,0.000000,102500000,102500000,11551.2267,2
oracle-jit,viaInterface,8.0953,0.000000,102500000,102500000,11551.2267,3
oracle-jit,viaInterface,7.7173,0.000000,102500000,102500000,11551.2267,4
oracle-jit,viaInterface,7.6985,0.000000,102500000,102500000,11551.2267,5
oracle-jit,viaConcrete,7.6925,0.000000,102500000,102500000,11551.2267,1
oracle-jit,viaConcrete,7.8210,0.000000,102500000,102500000,11551.2267,2
oracle-jit,viaConcrete,7.7108,0.000000,102500000,102500000,11551.2267,3
oracle-jit,viaConcrete,7.7835,0.000000,102500000,102500000,11551.2267,4
oracle-jit,viaConcrete,8.0456,0.000000,102500000,102500000,11551.2267,5
oracle-jit,viaTyped,7.7058,0.000000,102500000,102500000,11551.2267,1
oracle-jit,viaTyped,7.6906,0.000000,102500000,102500000,11551.2267,2
oracle-jit,viaTyped,7.6907,0.000000,102500000,102500000,11551.2267,3
oracle-jit,viaTyped,7.6635,0.000000,102500000,102500000,11551.2267,4
oracle-jit,viaTyped,7.6887,0.000000,102500000,102500000,11551.2267,5
native,viaInterface,14.0623,0.000000,102500000,102500000,11551.2267,1
native,viaInterface,14.0406,0.000000,102500000,102500000,11551.2267,2
native,viaInterface,14.0618,0.000000,102500000,102500000,11551.2267,3
native,viaInterface,14.0888,0.000000,102500000,102500000,11551.2267,4
native,viaInterface,14.0460,0.000000,102500000,102500000,11551.2267,5
native,viaConcrete,14.0553,0.000000,102500000,102500000,11551.2267,1
native,viaConcrete,14.0515,0.000000,102500000,102500000,11551.2267,2
native,viaConcrete,14.0719,0.000000,102500000,102500000,11551.2267,3
native,viaConcrete,14.0613,0.000000,102500000,102500000,11551.2267,4
native,viaConcrete,14.0177,0.000000,102500000,102500000,11551.2267,5
native,viaTyped,14.0788,0.000000,102500000,102500000,11551.2267,1
native,viaTyped,14.0565,0.000000,102500000,102500000,11551.2267,2
native,viaTyped,13.9571,0.000000,102500000,102500000,11551.2267,3
native,viaTyped,14.0181,0.000000,102500000,102500000,11551.2267,4
native,viaTyped,14.0337,0.000000,102500000,102500000,11551.2267,5
native-pgo,viaInterface,9.3419,0.000000,102500000,102500000,11551.2267,1
native-pgo,viaInterface,9.3014,0.000000,102500000,102500000,11551.2267,2
native-pgo,viaInterface,9.4445,0.000000,102500000,102500000,11551.2267,3
native-pgo,viaInterface,9.3135,0.000000,102500000,102500000,11551.2267,4
native-pgo,viaInterface,9.3545,0.000000,102500000,102500000,11551.2267,5
native-pgo,viaConcrete,8.9707,0.000000,102500000,102500000,11551.2267,1
native-pgo,viaConcrete,9.0250,0.000000,102500000,102500000,11551.2267,2
native-pgo,viaConcrete,9.0080,0.000000,102500000,102500000,11551.2267,3
native-pgo,viaConcrete,9.0359,0.000000,102500000,102500000,11551.2267,4
native-pgo,viaConcrete,9.0003,0.000000,102500000,102500000,11551.2267,5
native-pgo,viaTyped,9.4800,0.000000,102500000,102500000,11551.2267,1
native-pgo,viaTyped,9.3886,0.000000,102500000,102500000,11551.2267,2
native-pgo,viaTyped,9.3910,0.000000,102500000,102500000,11551.2267,3
native-pgo,viaTyped,9.5091,0.000000,102500000,102500000,11551.2267,4
native-pgo,viaTyped,9.3893,0.000000,102500000,102500000,11551.2267,5
